date,model_id,feature_dti,feature_fico,feature_ltv,segment,prediction,confidence
2026-01-01,credit_pd_v3,0.2779,739.9,0.5157,prime_720_plus,0.48,0.988
2026-01-01,credit_pd_v3,0.4497,714.5,0.6043,prime_720_plus,0.5903,0.9458
2026-01-01,credit_pd_v3,0.3191,745.9,0.6313,prime_720_plus,0.5047,0.9972
2026-01-01,credit_pd_v3,0.246,780.9,0.5224,prime_720_plus,0.4537,0.9722
2026-01-01,credit_pd_v3,0.3776,710.6,0.5613,prime_720_plus,0.5467,0.972
2026-01-01,credit_pd_v3,0.2345,710.6,0.6732,prime_720_plus,0.4575,0.9745
2026-01-01,credit_pd_v3,0.3346,783.2,0.3829,prime_720_plus,0.5086,0.9948
2026-01-01,credit_pd_v3,0.1828,750.7,0.3465,prime_720_plus,0.4195,0.9517
2026-01-01,credit_pd_v3,0.227,701.2,0.572,prime_720_plus,0.4543,0.9726
2026-01-01,credit_pd_v3,0.3338,741.7,0.6499,prime_720_plus,0.5146,0.9912
2026-01-01,credit_pd_v3,0.3717,701.5,0.8965,prime_720_plus,0.5445,0.9733
2026-01-01,credit_pd_v3,0.332,701.4,0.606,prime_720_plus,0.5198,0.9881
2026-01-01,credit_pd_v3,0.3119,729.7,0.4249,prime_720_plus,0.5028,0.9983
2026-01-01,credit_pd_v3,0.4495,643.5,0.3265,subprime_650_680,0.6009,0.9395
2026-01-01,credit_pd_v3,0.1566,651.0,0.5932,subprime_650_680,0.4188,0.9513
2026-01-01,credit_pd_v3,0.2696,697.5,0.856,prime_720_plus,0.4814,0.9888
2026-01-01,credit_pd_v3,0.3461,679.5,0.3997,subprime_650_680,0.532,0.9808
2026-01-01,credit_pd_v3,0.394,732.6,0.5581,prime_720_plus,0.5535,0.9679
2026-01-01,credit_pd_v3,0.3441,683.7,0.6492,prime_720_plus,0.53,0.982
2026-01-01,credit_pd_v3,0.2009,663.5,0.522,subprime_650_680,0.444,0.9664
2026-01-01,credit_pd_v3,0.3427,778.6,0.7623,prime_720_plus,0.5144,0.9914
2026-01-01,credit_pd_v3,0.293,711.0,0.7392,prime_720_plus,0.4939,0.9964
2026-01-01,credit_pd_v3,0.2726,722.7,0.407,prime_720_plus,0.4793,0.9876
