run_id,agent_id,started_at,ended_at,status,total_tool_calls,total_cost_usd,blast_radius,duration_s,customer_id_hash
RUN_00001,dispute_recon_v1,2026-04-16T08:08:09Z,2026-04-16T08:08:19Z,COMPLETED,4,0.3865,4,10,CUST_697280
RUN_00002,loan_pkg_v4,2026-04-29T06:06:29Z,2026-04-29T06:07:16Z,BOUNDED_BY_AGENTWATCH,105,2400,105,350,CUST_792125
RUN_00003,loan_pkg_v4,2026-04-07T19:43:37Z,2026-04-07T19:58:56Z,COMPLETED,7,1.5067,7,919,CUST_272999
RUN_00004,dispute_recon_v1,2026-04-14T01:10:37Z,2026-04-14T01:12:02Z,COMPLETED,3,0.3187,3,85,CUST_567106
RUN_00005,claims_triage_v3,2026-04-14T10:46:11Z,2026-04-14T10:46:34Z,COMPLETED,1,0.0955,1,23,CUST_748767
RUN_00006,loan_pkg_v4,2026-04-18T21:20:06Z,2026-04-18T21:20:13Z,COMPLETED,6,1.1764,6,7,CUST_158816
RUN_00007,claims_triage_v3,2026-04-19T13:48:21Z,2026-04-19T13:49:06Z,COMPLETED,8,0.9086,8,45,CUST_494344
RUN_00008,claims_triage_v3,2026-04-30T12:41:56Z,2026-04-30T12:43:25Z,TIMEOUT,3,0.437,3,89,CUST_258063
RUN_00009,claims_triage_v3,2026-04-28T17:12:38Z,2026-04-28T17:12:57Z,COMPLETED,3,0.3269,3,19,CUST_284623
RUN_00010,loan_pkg_v4,2026-04-24T05:38:20Z,2026-04-24T05:39:49Z,COMPLETED,10,2.491,10,89,CUST_804752
RUN_00011,claims_triage_v3,2026-04-13T12:29:17Z,2026-04-13T12:29:27Z,COMPLETED,6,0.8422,6,10,CUST_859172
RUN_00012,claims_triage_v3,2026-04-08T11:51:12Z,2026-04-08T11:51:17Z,COMPLETED,4,0.7038,4,5,CUST_453934
RUN_00013,kyc_refresh_v2,2026-04-22T23:13:59Z,2026-04-22T23:14:18Z,COMPLETED,1,0.1317,1,19,CUST_341992
RUN_00014,claims_triage_v3,2026-04-19T23:06:35Z,2026-04-19T23:06:41Z,COMPLETED,3,0.3218,3,6,CUST_615795
RUN_00015,claims_triage_v3,2026-04-23T04:31:26Z,2026-04-23T04:32:53Z,COMPLETED,5,0.79,5,87,CUST_693828
RUN_00016,kyc_refresh_v2,2026-04-15T17:04:23Z,2026-04-15T17:04:28Z,FAILED_RETRYABLE,1,0.1135,1,5,CUST_711906
RUN_00017,kyc_refresh_v2,2026-04-29T13:18:59Z,2026-04-29T13:20:29Z,COMPLETED,4,0.4684,4,90,CUST_226049
RUN_00018,claims_triage_v3,2026-04-29T09:57:44Z,2026-04-29T09:58:32Z,COMPLETED,6,0.6354,6,48,CUST_680192
RUN_00019,dispute_recon_v1,2026-04-17T18:56:00Z,2026-04-17T18:56:10Z,COMPLETED,3,0.3695,3,10,CUST_997710
RUN_00020,claims_triage_v3,2026-04-20T14:40:33Z,2026-04-20T14:42:01Z,COMPLETED,7,0.6794,7,88,CUST_402566
RUN_00021,dispute_recon_v1,2026-04-01T06:24:04Z,2026-04-01T06:24:25Z,COMPLETED,5,0.4805,5,21,CUST_761003
RUN_00022,kyc_refresh_v2,2026-04-30T09:58:34Z,2026-04-30T09:59:20Z,COMPLETED,1,0.0842,1,46,CUST_782093
RUN_00023,dispute_recon_v1,2026-04-28T05:20:10Z,2026-04-28T05:20:34Z,COMPLETED,6,0.3885,6,24,CUST_183022
RUN_00024,claims_triage_v3,2026-04-25T03:30:59Z,2026-04-25T03:37:20Z,COMPLETED,7,1.3029,7,381,CUST_309159
RUN_00025,claims_triage_v3,2026-04-11T18:28:37Z,2026-04-11T18:28:56Z,COMPLETED,6,0.542,6,19,CUST_855655
RUN_00026,claims_triage_v3,2026-04-09T14:35:38Z,2026-04-09T14:35:57Z,COMPLETED,9,1.0787,9,19,CUST_500892
RUN_00027,kyc_refresh_v2,2026-04-29T14:12:11Z,2026-04-29T14:14:33Z,COMPLETED,3,0.4025,3,142,CUST_146659
RUN_00028,loan_pkg_v4,2026-04-03T20:59:46Z,2026-04-03T21:00:30Z,COMPLETED,6,1.1547,6,44,CUST_749175
RUN_00029,dispute_recon_v1,2026-04-21T22:05:24Z,2026-04-21T22:07:45Z,COMPLETED,3,0.2386,3,141,CUST_364969
RUN_00030,dispute_recon_v1,2026-04-04T21:49:01Z,2026-04-04T21:50:26Z,COMPLETED,6,0.4279,6,85,CUST_532106
RUN_00031,dispute_recon_v1,2026-04-19T03:41:26Z,2026-04-19T03:42:53Z,COMPLETED,4,0.3366,4,87,CUST_618600
RUN_00032,dispute_recon_v1,2026-04-12T20:18:12Z,2026-04-12T20:18:19Z,COMPLETED,4,0.4994,4,7,CUST_804917
RUN_00033,dispute_recon_v1,2026-04-03T00:19:31Z,2026-04-03T00:19:52Z,COMPLETED,1,0.0809,1,21,CUST_933159
RUN_00034,loan_pkg_v4,2026-04-26T08:42:38Z,2026-04-26T08:43:22Z,COMPLETED,11,2.9731,11,44,CUST_153096
RUN_00035,kyc_refresh_v2,2026-04-16T21:19:57Z,2026-04-16T21:21:23Z,COMPLETED,8,0.9671,8,86,CUST_916085
RUN_00036,loan_pkg_v4,2026-04-28T12:53:28Z,2026-04-28T12:53:36Z,COMPLETED,5,0.9769,5,8,CUST_807242
RUN_00037,dispute_recon_v1,2026-04-16T15:23:00Z,2026-04-16T15:23:21Z,COMPLETED,5,0.5891,5,21,CUST_265139
RUN_00038,kyc_refresh_v2,2026-04-01T20:46:41Z,2026-04-01T20:53:03Z,COMPLETED,5,0.4535,5,382,CUST_535400
RUN_00039,claims_triage_v3,2026-04-01T21:31:59Z,2026-04-01T21:32:18Z,BOUNDED_BY_AGENTWATCH,9166,22000.0,9166,350,CUST_839952
RUN_00040,kyc_refresh_v2,2026-04-30T10:48:44Z,2026-04-30T10:49:03Z,COMPLETED,4,0.3964,4,19,CUST_961501
RUN_00041,kyc_refresh_v2,2026-04-11T10:44:16Z,2026-04-11T10:45:01Z,COMPLETED,3,0.4056,3,45,CUST_223616
RUN_00042,kyc_refresh_v2,2026-04-24T10:41:25Z,2026-04-24T10:41:30Z,COMPLETED,6,0.8435,6,5,CUST_754101
RUN_00043,dispute_recon_v1,2026-04-22T11:44:34Z,2026-04-22T11:45:20Z,COMPLETED,4,0.2552,4,46,CUST_303405
RUN_00044,dispute_recon_v1,2026-04-19T19:44:49Z,2026-04-19T19:51:10Z,COMPLETED,6,0.591,6,381,CUST_928290
RUN_00045,dispute_recon_v1,2026-04-21T15:04:05Z,2026-04-21T15:04:52Z,COMPLETED,4,0.3593,4,47,CUST_823442
