call_id,run_id,agent_id,step_index,tool_name,args_json,called_at,latency_ms,status,cost_usd
TC_000001,RUN_00001,dispute_recon_v1,0,doc_extract,"{""customer_id"":""CUST_697280""}",2026-04-16T08:08:09Z,45,OK,0.0241
TC_000002,RUN_00001,dispute_recon_v1,1,ledger_lookup,"{""customer_id"":""CUST_697280""}",2026-04-16T08:08:11Z,45,OK,0.0147
TC_000003,RUN_00001,dispute_recon_v1,2,txn_match,"{""customer_id"":""CUST_697280""}",2026-04-16T08:08:14Z,45,OK,0.0261
TC_000004,RUN_00001,dispute_recon_v1,3,txn_match,"{""customer_id"":""CUST_697280""}",2026-04-16T08:08:16Z,180,OK,0.0118
TC_000005,RUN_00002,loan_pkg_v4,0,app_lookup,"{""customer_id"":""CUST_792125""}",2026-04-29T06:06:29Z,252,OK,0.2442
TC_000006,RUN_00002,loan_pkg_v4,1,credit_pull,"{""customer_id"":""CUST_792125""}",2026-04-29T06:06:46Z,456,OK,0.2295
TC_000007,RUN_00002,loan_pkg_v4,2,income_verify,"{""customer_id"":""CUST_792125""}",2026-04-29T06:07:04Z,325,OK,0.2579
TC_000008,RUN_00002,loan_pkg_v4,3,asset_verify,"{""customer_id"":""CUST_792125""}",2026-04-29T06:07:22Z,275,OK,0.1807
TC_000009,RUN_00002,loan_pkg_v4,4,appraisal_request,"{""customer_id"":""CUST_792125""}",2026-04-29T06:07:40Z,252,OK,0.2516
TC_000010,RUN_00002,loan_pkg_v4,5,title_check,"{""customer_id"":""CUST_792125""}",2026-04-29T06:07:58Z,216,OK,0.1831
TC_000011,RUN_00003,loan_pkg_v4,0,doc_assemble,"{""customer_id"":""CUST_272999""}",2026-04-07T19:43:37Z,45,OK,0.0286
TC_000012,RUN_00003,loan_pkg_v4,1,doc_assemble,"{""customer_id"":""CUST_272999""}",2026-04-07T19:45:48Z,90,OK,0.0398
TC_000013,RUN_00003,loan_pkg_v4,2,rate_lock,"{""customer_id"":""CUST_272999""}",2026-04-07T19:47:59Z,45,OK,0.0238
TC_000014,RUN_00003,loan_pkg_v4,3,comm_draft,"{""customer_id"":""CUST_272999""}",2026-04-07T19:50:10Z,380,OK,0.0362
TC_000015,RUN_00003,loan_pkg_v4,4,title_check,"{""customer_id"":""CUST_272999""}",2026-04-07T19:52:22Z,90,OK,0.031
TC_000016,RUN_00003,loan_pkg_v4,5,compliance_scan,"{""customer_id"":""CUST_272999""}",2026-04-07T19:54:33Z,380,OK,0.0296
