timestamp,feature_id,model,query_tokens,response_tokens,cost_usd,latency_ms
2026-04-15T01:11:13Z,FT_011,claude-haiku-4-5,883,181,0.001788,648
2026-04-15T05:07:10Z,FT_011,claude-haiku-4-5,644,291,0.002099,642
2026-04-15T06:41:38Z,FT_012,gpt-4o,1846,724,0.011855,1167
2026-04-15T06:45:09Z,FT_004,claude-haiku-4-5,799,221,0.001904,509
2026-04-15T07:28:04Z,FT_018,claude-sonnet-4-5,2611,455,0.014658,1614
2026-04-15T07:40:11Z,FT_003,gpt-4o,2630,186,0.008435,1940
2026-04-15T08:08:17Z,FT_010,gpt-4o-mini,808,298,0.0003,675
2026-04-15T08:15:51Z,FT_009,claude-opus-4-1,4369,1929,0.21021,5658
2026-04-15T08:22:34Z,FT_014,claude-haiku-4-5,1137,81,0.001542,346
2026-04-15T09:27:30Z,FT_014,claude-haiku-4-5,1505,65,0.00183,379
2026-04-15T09:28:31Z,FT_009,claude-opus-4-1,4381,1658,0.190065,6906
2026-04-15T10:26:07Z,FT_004,claude-haiku-4-5,768,196,0.001748,503
2026-04-15T10:28:36Z,FT_006,claude-opus-4-1,6536,3945,0.393915,8362
2026-04-15T10:33:05Z,FT_001,claude-sonnet-4-5,1362,351,0.009351,1476
2026-04-15T10:35:43Z,FT_012,gpt-4o,1902,1042,0.015175,1409
2026-04-15T10:52:03Z,FT_005,claude-sonnet-4-5,2047,629,0.015576,2055
2026-04-15T11:09:35Z,FT_015,claude-opus-4-1,14938,3822,0.51072,12604
2026-04-15T11:15:03Z,FT_010,gpt-4o-mini,877,353,0.000343,599
2026-04-15T11:21:26Z,FT_012,gpt-4o,1524,692,0.01073,1291
2026-04-15T11:33:18Z,FT_015,claude-opus-4-1,14394,4452,0.54981,11813
2026-04-15T11:42:00Z,FT_001,claude-sonnet-4-5,1981,400,0.011943,1427
2026-04-15T11:52:26Z,FT_013,gpt-4o,1072,1373,0.01641,2486
2026-04-15T12:05:09Z,FT_013,gpt-4o,1129,1863,0.021452,3323
2026-04-15T12:25:46Z,FT_004,claude-haiku-4-5,749,226,0.001879,364
2026-04-15T12:42:09Z,FT_003,gpt-4o,3416,165,0.01019,2317
2026-04-15T12:46:00Z,FT_001,claude-sonnet-4-5,1511,374,0.010143,1128
2026-04-15T13:01:32Z,FT_007,claude-sonnet-4-5,1181,316,0.008283,1013
2026-04-15T13:05:48Z,FT_004,claude-haiku-4-5,625,219,0.00172,389
2026-04-15T13:07:14Z,FT_010,gpt-4o-mini,675,316,0.000291,735
2026-04-15T13:16:18Z,FT_018,claude-sonnet-4-5,2437,769,0.018846,1425
2026-04-15T13:25:41Z,FT_016,claude-sonnet-4-5,1402,372,0.009786,1520
2026-04-15T14:25:55Z,FT_008,gpt-4o,13609,1857,0.052593,4356
2026-04-15T14:45:56Z,FT_008,gpt-4o,9666,2211,0.046275,3854
2026-04-15T14:55:28Z,FT_001,claude-sonnet-4-5,2089,525,0.014142,1130
2026-04-15T15:50:35Z,FT_014,claude-haiku-4-5,1172,73,0.001537,291
2026-04-15T16:04:30Z,FT_003,gpt-4o,2812,202,0.00905,2112
2026-04-15T16:12:41Z,FT_009,claude-opus-4-1,4700,1127,0.155025,6982
2026-04-15T16:59:19Z,FT_001,claude-sonnet-4-5,2008,403,0.012069,1300
2026-04-15T18:16:54Z,FT_010,gpt-4o-mini,862,287,0.000301,702
2026-04-15T19:00:25Z,FT_011,claude-haiku-4-5,658,291,0.002113,579
2026-04-15T19:29:03Z,FT_005,claude-sonnet-4-5,1884,455,0.012477,1820
2026-04-15T19:29:38Z,FT_007,claude-sonnet-4-5,1106,270,0.007368,1163
2026-04-15T19:50:00Z,FT_007,claude-sonnet-4-5,1358,427,0.010479,1103
2026-04-15T21:09:37Z,FT_002,claude-sonnet-4-5,2414,790,0.019092,1678
2026-04-15T21:43:03Z,FT_014,claude-haiku-4-5,1104,68,0.001444,272
