case_id,customer_id,ingested_at,ai_confidence,ai_decision,difficulty_score,customer_tier,country_risk_tier,true_outcome,case_value_usd
CASE_0001_20260511,CUST_868951,2026-05-11T01:21:00Z,0.984,APPROVE,1,retail,1,APPROVE,28153.6
CASE_0002_20260314,CUST_606009,2026-03-14T18:55:00Z,0.912,APPROVE,2,retail,3,APPROVE,192243.52
CASE_0003_20260320,CUST_704971,2026-03-20T07:06:00Z,0.869,APPROVE,3,retail,3,APPROVE,64598.47
CASE_0004_20260316,CUST_644293,2026-03-16T20:21:00Z,0.979,APPROVE,2,retail,1,EDD_REQUIRED,101506.57
CASE_0005_20260319,CUST_457644,2026-03-19T11:21:00Z,0.876,APPROVE,4,retail,4,APPROVE,88184.11
CASE_0006_20260306,CUST_128214,2026-03-06T11:27:00Z,0.776,APPROVE,3,retail,1,APPROVE,165801.98
CASE_0007_20260507,CUST_869980,2026-05-07T17:04:00Z,0.953,APPROVE,3,retail,2,APPROVE,184090.69
CASE_0008_20260320,CUST_475370,2026-03-20T22:56:00Z,0.983,APPROVE,1,sme,2,,51276.26
CASE_0009_20260415,CUST_332573,2026-04-15T08:06:00Z,0.978,APPROVE,1,sme,1,APPROVE,112077.93
CASE_0010_20260519,CUST_481727,2026-05-19T06:37:00Z,0.878,APPROVE,4,retail,2,,23941.41
CASE_0011_20260324,CUST_541730,2026-03-24T23:56:00Z,0.877,APPROVE,4,private_banking,2,APPROVE,80797.94
CASE_0012_20260314,CUST_311458,2026-03-14T02:55:00Z,0.883,APPROVE,4,retail,1,APPROVE,52735.99
CASE_0013_20260321,CUST_728707,2026-03-21T13:58:00Z,0.926,APPROVE,2,retail,1,EDD_REQUIRED,220807.93
CASE_0014_20260328,CUST_398148,2026-03-28T09:07:00Z,0.825,APPROVE,3,retail,1,APPROVE,74765.58
CASE_0015_20260427,CUST_409523,2026-04-27T12:33:00Z,0.595,APPROVE,5,private_banking,1,APPROVE,139400.35
CASE_0016_20260513,CUST_790603,2026-05-13T04:37:00Z,0.984,APPROVE,2,retail,1,APPROVE,162805.53
CASE_0017_20260405,CUST_601569,2026-04-05T23:07:00Z,0.787,APPROVE,4,retail,1,,128736.57
CASE_0018_20260316,CUST_569198,2026-03-16T21:33:00Z,0.721,APPROVE,3,sme,4,,244185.36
CASE_0019_20260317,CUST_142870,2026-03-17T01:40:00Z,0.877,APPROVE,3,retail,1,APPROVE,29132.13
CASE_0020_20260309,CUST_625752,2026-03-09T22:53:00Z,0.908,APPROVE,1,retail,1,,137894.88
CASE_0021_20260514,CUST_279043,2026-05-14T09:13:00Z,0.973,APPROVE,1,private_banking,3,APPROVE,34947.5
CASE_0022_20260523,CUST_847833,2026-05-23T14:32:00Z,0.878,APPROVE,2,private_banking,4,,133356.38
CASE_0023_20260528,CUST_200857,2026-05-28T02:20:00Z,0.981,APPROVE,3,retail,3,,205764.37
CASE_0024_20260502,CUST_376369,2026-05-02T01:36:00Z,0.88,APPROVE,2,retail,2,APPROVE,116540.6
CASE_0025_20260429,CUST_574430,2026-04-29T04:03:00Z,0.802,APPROVE,3,retail,2,REJECT,139157.03
CASE_0026_20260330,CUST_271739,2026-03-30T23:17:00Z,0.923,EDD_REQUIRED,1,sme,1,,185112.09
CASE_0027_20260406,CUST_776976,2026-04-06T16:09:00Z,0.976,APPROVE,2,private_banking,1,,75341.44
CASE_0028_20260328,CUST_417892,2026-03-28T00:35:00Z,0.787,APPROVE,3,sme,4,APPROVE,152436.77
CASE_0029_20260315,CUST_567897,2026-03-15T15:36:00Z,0.896,APPROVE,4,retail,3,,36167.6
CASE_0030_20260521,CUST_515291,2026-05-21T23:41:00Z,0.865,APPROVE,4,private_banking,2,APPROVE,92700.22
CASE_0031_20260402,CUST_454693,2026-04-02T09:19:00Z,0.908,APPROVE,2,private_banking,1,,188625.34
CASE_0032_20260507,CUST_801759,2026-05-07T05:59:00Z,0.652,APPROVE,5,private_banking,1,APPROVE,5029.15
CASE_0033_20260303,CUST_869278,2026-03-03T06:52:00Z,0.907,APPROVE,1,retail,3,APPROVE,24282.15
CASE_0034_20260524,CUST_743673,2026-05-24T06:35:00Z,0.937,REJECT,1,private_banking,2,REJECT,49120.69
CASE_0035_20260418,CUST_680883,2026-04-18T02:07:00Z,0.969,APPROVE,2,retail,2,APPROVE,146068.15
CASE_0036_20260420,CUST_485507,2026-04-20T12:36:00Z,0.958,APPROVE,1,retail,2,APPROVE,148698.86
CASE_0037_20260310,CUST_390281,2026-03-10T17:46:00Z,0.454,APPROVE,4,retail,1,,128035.6
CASE_0038_20260312,CUST_702162,2026-03-12T12:00:00Z,0.877,APPROVE,3,retail,1,APPROVE,188231.58
CASE_0039_20260425,CUST_128657,2026-04-25T13:45:00Z,0.906,APPROVE,2,retail,1,APPROVE,121194.73
CASE_0040_20260506,CUST_257181,2026-05-06T22:55:00Z,0.719,EDD_REQUIRED,4,retail,1,EDD_REQUIRED,148325.54
CASE_0041_20260505,CUST_431752,2026-05-05T02:35:00Z,0.919,APPROVE,1,sme,1,EDD_REQUIRED,173500.27
CASE_0042_20260421,CUST_372292,2026-04-21T20:48:00Z,0.921,APPROVE,3,retail,2,,229720.55
CASE_0043_20260309,CUST_670596,2026-03-09T05:42:00Z,0.976,APPROVE,1,private_banking,2,APPROVE,212969.52
CASE_0044_20260504,CUST_825848,2026-05-04T17:01:00Z,0.871,APPROVE,3,sme,1,,43737.99
CASE_0045_20260305,CUST_290796,2026-03-05T20:25:00Z,0.462,APPROVE,4,retail,2,,92171.24
CASE_0046_20260421,CUST_468855,2026-04-21T22:01:00Z,0.889,APPROVE,3,retail,2,APPROVE,153316.36
CASE_0047_20260509,CUST_961764,2026-05-09T12:25:00Z,0.908,APPROVE,1,retail,3,EDD_REQUIRED,93703.6
CASE_0048_20260506,CUST_897522,2026-05-06T16:25:00Z,0.943,APPROVE,2,retail,1,APPROVE,230469.55
CASE_0049_20260429,CUST_713469,2026-04-29T19:20:00Z,0.913,APPROVE,1,retail,1,,183263.43
CASE_0050_20260316,CUST_432558,2026-03-16T10:25:00Z,0.597,APPROVE,5,retail,2,,167544.5
CASE_0051_20260524,CUST_510828,2026-05-24T08:54:00Z,0.822,APPROVE,3,retail,2,APPROVE,36799.23
CASE_0052_20260408,CUST_807105,2026-04-08T14:35:00Z,0.959,APPROVE,2,retail,1,,60270.15
CASE_0053_20260513,CUST_505798,2026-05-13T19:45:00Z,0.604,APPROVE,5,private_banking,4,EDD_REQUIRED,119927.57
CASE_0054_20260515,CUST_545345,2026-05-15T17:56:00Z,0.918,APPROVE,2,retail,1,,199897.74
CASE_0055_20260318,CUST_901177,2026-03-18T15:29:00Z,0.421,APPROVE,3,retail,1,APPROVE,179404.14
CASE_0056_20260507,CUST_207956,2026-05-07T00:25:00Z,0.979,APPROVE,1,retail,3,REJECT,102211.85
CASE_0057_20260327,CUST_469437,2026-03-27T09:19:00Z,0.755,APPROVE,4,sme,1,APPROVE,183099.42
CASE_0058_20260512,CUST_963346,2026-05-12T01:04:00Z,0.98,APPROVE,3,retail,1,,184225.41
CASE_0059_20260408,CUST_767154,2026-04-08T19:36:00Z,0.52,APPROVE,4,private_banking,3,,235340.32
CASE_0060_20260529,CUST_809067,2026-05-29T03:39:00Z,0.826,APPROVE,2,retail,1,APPROVE,187506.46
CASE_0061_20260309,CUST_940580,2026-03-09T20:37:00Z,0.981,APPROVE,1,retail,3,,2460.33
CASE_0062_20260421,CUST_771261,2026-04-21T08:03:00Z,0.985,APPROVE,1,private_banking,1,APPROVE,185630.18
CASE_0063_20260424,CUST_774758,2026-04-24T16:12:00Z,0.915,APPROVE,3,retail,3,APPROVE,11714.47
CASE_0064_20260308,CUST_421127,2026-03-08T17:40:00Z,0.789,APPROVE,3,retail,2,APPROVE,91662.04
CASE_0065_20260403,CUST_346975,2026-04-03T19:12:00Z,0.794,APPROVE,2,retail,3,,211486.15
CASE_0066_20260410,CUST_257774,2026-04-10T04:35:00Z,0.705,APPROVE,3,retail,1,REJECT,249019.62
CASE_0067_20260526,CUST_406211,2026-05-26T17:03:00Z,0.936,APPROVE,1,retail,3,EDD_REQUIRED,53228.78
CASE_0068_20260305,CUST_887482,2026-03-05T07:00:00Z,0.952,APPROVE,1,retail,2,EDD_REQUIRED,7548.14
CASE_0069_20260414,CUST_880957,2026-04-14T00:32:00Z,0.953,APPROVE,1,retail,1,APPROVE,151948.77
CASE_0070_20260419,CUST_987603,2026-04-19T13:19:00Z,0.939,APPROVE,2,retail,1,APPROVE,20532.91
