case_id,ground_truth_outcome,downstream_signal,backfill_observed_at,modeled_loss_usd,reviewer_was_wrong
CASE_0004_20260316,EDD_REQUIRED,customer_complaint_cfpb,2026-04-08,0.0,True
CASE_0007_20260507,APPROVE,sar_filed_later,2026-07-25,0.0,True
CASE_0025_20260429,REJECT,charge_off_30d,2026-09-29,46597.12,True
CASE_0030_20260521,APPROVE,sar_filed_later,2026-10-04,0.0,True
CASE_0033_20260303,APPROVE,charge_off_30d,2026-07-29,74376.96,True
CASE_0041_20260505,EDD_REQUIRED,charge_off_30d,2026-06-13,73013.99,True
CASE_0047_20260509,EDD_REQUIRED,regulatory_finding_ofac_match,2026-10-16,248766.53,True
CASE_0053_20260513,EDD_REQUIRED,customer_complaint_cfpb,2026-09-19,0.0,True
CASE_0056_20260507,REJECT,fraud_loss,2026-10-17,56453.76,True
CASE_0062_20260421,APPROVE,customer_complaint_cfpb,2026-07-21,0.0,True
CASE_0066_20260410,REJECT,sar_filed_later,2026-05-09,0.0,True
CASE_0067_20260526,EDD_REQUIRED,fraud_loss,2026-09-03,48641.4,True
CASE_0068_20260305,EDD_REQUIRED,regulatory_finding_aml,2026-04-21,0.0,True
CASE_0081_20260524,REJECT,charge_off_30d,2026-11-01,35607.21,True
CASE_0083_20260527,EDD_REQUIRED,fraud_loss,2026-07-07,38775.84,True
CASE_0089_20260427,APPROVE,customer_complaint_cfpb,2026-06-10,0.0,True
CASE_0105_20260318,EDD_REQUIRED,fraud_loss,2026-04-11,24555.29,True
CASE_0106_20260321,REJECT,fraud_loss,2026-09-04,43739.51,True
CASE_0110_20260425,APPROVE,sar_filed_later,2026-08-15,0.0,True
CASE_0111_20260429,EDD_REQUIRED,sar_filed_later,2026-05-28,0.0,True
CASE_0114_20260401,APPROVE,sar_filed_later,2026-04-26,0.0,True
CASE_0120_20260317,EDD_REQUIRED,fraud_loss,2026-05-13,42349.01,True
CASE_0123_20260424,APPROVE,sar_filed_later,2026-09-29,0.0,True
CASE_0129_20260429,APPROVE,customer_complaint_cfpb,2026-06-11,0.0,True
CASE_0130_20260427,EDD_REQUIRED,charge_off_30d,2026-09-07,68752.73,True
CASE_0131_20260423,APPROVE,fraud_loss,2026-06-04,5900.62,True
CASE_0132_20260521,REJECT,sar_filed_later,2026-09-14,0.0,True
CASE_0133_20260417,REJECT,sar_filed_later,2026-07-01,0.0,True
CASE_0135_20260303,REJECT,regulatory_finding_aml,2026-07-02,0.0,True
CASE_0136_20260517,APPROVE,charge_off_30d,2026-08-30,14343.8,True
CASE_0143_20260315,REJECT,sar_filed_later,2026-07-26,0.0,True
CASE_0145_20260316,EDD_REQUIRED,customer_complaint_cfpb,2026-07-05,0.0,True
CASE_0160_20260314,EDD_REQUIRED,charge_off_30d,2026-04-03,12168.67,True
CASE_0161_20260430,REJECT,fraud_loss,2026-09-15,40438.47,True
CASE_0170_20260427,REJECT,regulatory_finding_ofac_match,2026-06-21,309465.37,True
CASE_0172_20260307,REJECT,sar_filed_later,2026-06-09,0.0,True
CASE_0182_20260504,EDD_REQUIRED,charge_off_30d,2026-07-21,35264.8,True
CASE_0183_20260409,REJECT,fraud_loss,2026-05-24,45184.6,True
CASE_0194_20260417,EDD_REQUIRED,regulatory_finding_ofac_match,2026-08-29,164511.72,True
CASE_0197_20260323,EDD_REQUIRED,sar_filed_later,2026-07-08,0.0,True
CASE_0200_20260419,REJECT,regulatory_finding_ofac_match,2026-06-29,400040.86,True
CASE_0232_20260310,REJECT,regulatory_finding_ofac_match,2026-04-20,371406.15,True
CASE_0235_20260520,EDD_REQUIRED,sar_filed_later,2026-10-20,0.0,True
CASE_0243_20260324,EDD_REQUIRED,customer_complaint_cfpb,2026-08-16,0.0,True
CASE_0245_20260422,REJECT,sar_filed_later,2026-07-18,0.0,True
CASE_0249_20260317,EDD_REQUIRED,regulatory_finding_ofac_match,2026-08-17,245054.4,True
CASE_0250_20260504,EDD_REQUIRED,regulatory_finding_ofac_match,2026-05-29,50722.66,True
CASE_0255_20260418,REJECT,fraud_loss,2026-07-24,57988.19,True
CASE_0257_20260514,EDD_REQUIRED,customer_complaint_cfpb,2026-08-03,0.0,True
CASE_0262_20260324,EDD_REQUIRED,customer_complaint_cfpb,2026-05-06,0.0,True
CASE_0263_20260526,EDD_REQUIRED,regulatory_finding_ofac_match,2026-06-28,483067.68,True
CASE_0264_20260522,EDD_REQUIRED,regulatory_finding_ofac_match,2026-07-07,61160.58,True
CASE_0268_20260402,EDD_REQUIRED,sar_filed_later,2026-09-18,0.0,True
CASE_0269_20260501,APPROVE,sar_filed_later,2026-09-03,0.0,True
CASE_0277_20260424,APPROVE,fraud_loss,2026-05-26,16641.44,True
CASE_0278_20260426,REJECT,charge_off_30d,2026-08-10,2363.16,True
CASE_0279_20260406,EDD_REQUIRED,sar_filed_later,2026-04-22,0.0,True
CASE_0298_20260420,REJECT,regulatory_finding_aml,2026-05-13,0.0,True
CASE_0300_20260327,APPROVE,sar_filed_later,2026-09-17,0.0,True
