decision_id,customer_id,model_id,decision_type,timestamp,outcome,decision_value
DEC_0001_20260312,CUST_749694,kyc_review_v4,kyc_review,2026-03-12T17:24:05Z,REJECT,0.286
DEC_0002_20260406,CUST_706406,loan_pd_v3,loan_approval,2026-04-06T16:14:37Z,CONDITIONAL,55239.18
DEC_0003_20260312,CUST_863700,fraud_screen_v6,fraud_screen,2026-03-12T10:22:29Z,BLOCK,11114.09
DEC_0004_20260416,CUST_896319,claims_triage_v2,claims_triage,2026-04-16T08:11:02Z,AUTO_PAY,41351.79
DEC_0005_20260409,CUST_948931,claims_triage_v2,claims_triage,2026-04-09T08:56:44Z,ADJUSTER_REVIEW,37033.83
DEC_0006_20260316,CUST_567106,kyc_review_v4,kyc_review,2026-03-16T12:06:47Z,CLEAR,0.13
DEC_0007_20260430,CUST_849171,kyc_review_v4,kyc_review,2026-04-30T12:39:31Z,CLEAR,0.66
DEC_0008_20260307,CUST_503732,kyc_review_v4,kyc_review,2026-03-07T15:08:03Z,CLEAR,0.439
DEC_0009_20260427,CUST_501225,claims_triage_v2,claims_triage,2026-04-27T16:55:11Z,SIU_FLAG,16780.02
DEC_0010_20260419,CUST_514259,kyc_review_v4,kyc_review,2026-04-19T18:48:58Z,CLEAR,0.388
DEC_0011_20260420,CUST_298186,fraud_screen_v6,fraud_screen,2026-04-20T10:09:54Z,BLOCK,2908.49
DEC_0012_20260427,CUST_253141,kyc_review_v4,kyc_review,2026-04-27T11:14:07Z,REJECT,0.371
DEC_0013_20260312,CUST_951380,fraud_screen_v6,fraud_screen,2026-03-12T09:46:22Z,BLOCK,5753.93
DEC_0014_20260324,CUST_901514,fraud_screen_v6,fraud_screen,2026-03-24T12:06:24Z,BLOCK,2200.01
DEC_0015_20260318,CUST_647232,claims_triage_v2,claims_triage,2026-03-18T09:46:09Z,ADJUSTER_REVIEW,42153.06
DEC_0016_20260420,CUST_181524,loan_pd_v3,loan_approval,2026-04-20T18:03:21Z,APPROVE,64233.48
DEC_0017_20260404,CUST_574509,fraud_screen_v6,fraud_screen,2026-04-04T08:37:07Z,PASS,11384.21
DEC_0018_20260430,CUST_341992,loan_pd_v3,loan_approval,2026-04-30T14:02:11Z,APPROVE,35661.62
DEC_0019_20260305,CUST_325986,kyc_review_v4,kyc_review,2026-03-05T15:18:09Z,EDD_REQUIRED,0.585
DEC_0020_20260420,CUST_951601,fraud_screen_v6,fraud_screen,2026-04-20T13:45:49Z,STEP_UP_AUTH,6067.63
DEC_0021_20260430,CUST_693828,claims_triage_v2,claims_triage,2026-04-30T08:18:03Z,ADJUSTER_REVIEW,36191.79
DEC_0022_20260409,CUST_442763,kyc_review_v4,kyc_review,2026-04-09T16:52:37Z,CLEAR,0.894
DEC_0023_20260428,CUST_589406,claims_triage_v2,claims_triage,2026-04-28T15:42:26Z,ADJUSTER_REVIEW,13594.83
DEC_0024_20260325,CUST_226049,kyc_review_v4,kyc_review,2026-03-25T16:43:51Z,EDD_REQUIRED,0.368
DEC_0025_20260319,CUST_797794,claims_triage_v2,claims_triage,2026-03-19T11:58:22Z,ADJUSTER_REVIEW,25122.49
DEC_0026_20260421,CUST_996508,claims_triage_v2,claims_triage,2026-04-21T13:36:59Z,SIU_FLAG,17603.8
DEC_0027_20260420,CUST_997710,claims_triage_v2,claims_triage,2026-04-20T17:39:01Z,ADJUSTER_REVIEW,35754.91
DEC_0028_20260406,CUST_518272,loan_pd_v3,loan_approval,2026-04-06T08:23:19Z,APPROVE,71748.71
DEC_0029_20260423,CUST_891958,kyc_review_v4,kyc_review,2026-04-23T16:16:05Z,CLEAR,0.663
DEC_0030_20260410,CUST_661010,fraud_screen_v6,fraud_screen,2026-04-10T14:11:16Z,STEP_UP_AUTH,7279.21
DEC_0031_20260405,CUST_249586,claims_triage_v2,claims_triage,2026-04-05T16:13:25Z,SIU_FLAG,32685.82
DEC_0032_20260429,CUST_506740,claims_triage_v2,claims_triage,2026-04-29T15:10:05Z,ADJUSTER_REVIEW,5908.12
DEC_0033_20260406,CUST_621564,claims_triage_v2,claims_triage,2026-04-06T10:05:10Z,ADJUSTER_REVIEW,33325.49
DEC_0034_20260302,CUST_231859,claims_triage_v2,claims_triage,2026-03-02T08:27:13Z,AUTO_PAY,16144.13
DEC_0035_20260426,CUST_798432,claims_triage_v2,claims_triage,2026-04-26T11:50:11Z,AUTO_PAY,22117.33
DEC_0036_20260423,CUST_207042,fraud_screen_v6,fraud_screen,2026-04-23T18:24:32Z,STEP_UP_AUTH,2121.68
DEC_0037_20260411,CUST_739123,kyc_review_v4,kyc_review,2026-04-11T09:56:20Z,REJECT,0.443
DEC_0038_20260303,CUST_379205,loan_pd_v3,loan_approval,2026-03-03T10:08:26Z,APPROVE,55368.28
DEC_0039_20260420,CUST_555338,loan_pd_v3,loan_approval,2026-04-20T14:59:17Z,CONDITIONAL,52477.28
DEC_0040_20260323,CUST_846013,kyc_review_v4,kyc_review,2026-03-23T08:31:50Z,EDD_REQUIRED,0.066
DEC_0041_20260418,CUST_231949,kyc_review_v4,kyc_review,2026-04-18T10:06:13Z,CLEAR,0.803
DEC_0042_20260405,CUST_338753,fraud_screen_v6,fraud_screen,2026-04-05T15:08:40Z,STEP_UP_AUTH,8917.06
DEC_0043_20260304,CUST_177058,kyc_review_v4,kyc_review,2026-03-04T13:31:36Z,EDD_REQUIRED,0.515
DEC_0044_20260303,CUST_713446,claims_triage_v2,claims_triage,2026-03-03T18:40:50Z,ADJUSTER_REVIEW,9168.61
DEC_0045_20260324,CUST_196844,loan_pd_v3,loan_approval,2026-03-24T18:51:22Z,DENY,55422.83
DEC_0046_20260420,CUST_962343,loan_pd_v3,loan_approval,2026-04-20T09:57:53Z,CONDITIONAL,51494.41
DEC_0047_20260326,CUST_576370,loan_pd_v3,loan_approval,2026-03-26T13:49:13Z,CONDITIONAL,53471.22
DEC_0048_20260427,CUST_346372,kyc_review_v4,kyc_review,2026-04-27T17:07:28Z,REJECT,0.693
DEC_0049_20260328,CUST_195538,fraud_screen_v6,fraud_screen,2026-03-28T13:16:07Z,BLOCK,8556.11
DEC_0050_20260427,CUST_236280,fraud_screen_v6,fraud_screen,2026-04-27T18:10:26Z,STEP_UP_AUTH,701.87
DEC_0051_20260413,CUST_895265,fraud_screen_v6,fraud_screen,2026-04-13T11:21:04Z,PASS,11783.29
DEC_0052_20260327,CUST_176928,claims_triage_v2,claims_triage,2026-03-27T14:39:09Z,ADJUSTER_REVIEW,32532.82
DEC_0053_20260410,CUST_296101,claims_triage_v2,claims_triage,2026-04-10T13:45:25Z,AUTO_PAY,4806.56
DEC_0054_20260407,CUST_262805,kyc_review_v4,kyc_review,2026-04-07T18:52:25Z,EDD_REQUIRED,0.181
DEC_0055_20260413,CUST_325664,fraud_screen_v6,fraud_screen,2026-04-13T15:25:25Z,BLOCK,10518.85
DEC_0056_20260427,CUST_766468,loan_pd_v3,loan_approval,2026-04-27T16:31:47Z,APPROVE,47389.53
DEC_0057_20260304,CUST_600427,fraud_screen_v6,fraud_screen,2026-03-04T09:11:46Z,PASS,2841.83
DEC_0058_20260412,CUST_295196,fraud_screen_v6,fraud_screen,2026-04-12T17:10:49Z,STEP_UP_AUTH,2068.38
DEC_0059_20260408,CUST_457545,loan_pd_v3,loan_approval,2026-04-08T11:46:01Z,CONDITIONAL,68047.72
DEC_0060_20260424,CUST_908036,fraud_screen_v6,fraud_screen,2026-04-24T17:23:50Z,STEP_UP_AUTH,7092.75
DEC_0061_20260406,CUST_732223,fraud_screen_v6,fraud_screen,2026-04-06T10:16:50Z,BLOCK,6609.72
DEC_0062_20260405,CUST_997609,fraud_screen_v6,fraud_screen,2026-04-05T08:52:28Z,STEP_UP_AUTH,8285.35
DEC_0063_20260320,CUST_853263,claims_triage_v2,claims_triage,2026-03-20T13:16:06Z,AUTO_PAY,40197.77
