decision_id,outcome_type,outcome_value,outcome_date
DEC_0001_20260312,sar_filed_later,"$32,579",2026-04-10
DEC_0002_20260406,repaid_late,closed_clean,2026-05-06
DEC_0003_20260312,legitimate_blocked,case_filed,2026-05-09
DEC_0004_20260416,reopened_dispute,case_filed,2026-06-16
DEC_0005_20260409,reopened_dispute,case_filed,2026-05-23
DEC_0006_20260316,none_observed,,2026-03-28
DEC_0007_20260430,sar_filed_later,"$16,353",2026-07-10
DEC_0008_20260307,account_opened_clean,closed_clean,2026-04-23
DEC_0009_20260427,complaint_state_doi,case_filed,2026-07-05
DEC_0010_20260419,account_opened_clean,closed_clean,2026-06-15
DEC_0011_20260420,legitimate_blocked,case_filed,2026-05-19
DEC_0012_20260427,sar_filed_later,"$43,044",2026-06-21
DEC_0013_20260312,none_observed,,2026-04-23
DEC_0014_20260324,fraud_prevented,closed_clean,2026-06-02
DEC_0015_20260318,paid_no_dispute,closed_clean,2026-04-16
DEC_0016_20260420,customer_complaint_cfpb,case_filed,2026-04-28
DEC_0017_20260404,chargeback_30d,"$42,583",2026-05-05
DEC_0018_20260430,repaid_on_time,closed_clean,2026-05-29
DEC_0019_20260305,sar_filed_later,"$27,275",2026-03-11
DEC_0020_20260420,legitimate_blocked,case_filed,2026-06-17
DEC_0021_20260430,complaint_state_doi,case_filed,2026-07-01
DEC_0022_20260409,account_opened_clean,closed_clean,2026-05-24
DEC_0023_20260428,complaint_state_doi,case_filed,2026-06-05
DEC_0024_20260325,account_opened_clean,closed_clean,2026-05-19
DEC_0025_20260319,complaint_state_doi,case_filed,2026-04-29
DEC_0026_20260421,siu_fraud_confirmed,closed_clean,2026-06-25
DEC_0027_20260420,siu_fraud_confirmed,closed_clean,2026-05-13
DEC_0028_20260406,repaid_late,closed_clean,2026-04-12
DEC_0029_20260423,customer_friction_complaint,case_filed,2026-06-03
DEC_0030_20260410,legitimate_blocked,case_filed,2026-05-12
DEC_0031_20260405,paid_no_dispute,closed_clean,2026-05-15
DEC_0032_20260429,complaint_state_doi,case_filed,2026-06-02
DEC_0033_20260406,paid_no_dispute,closed_clean,2026-04-09
DEC_0034_20260302,reopened_dispute,case_filed,2026-04-17
DEC_0035_20260426,siu_fraud_confirmed,closed_clean,2026-05-27
DEC_0036_20260423,legitimate_blocked,case_filed,2026-06-17
DEC_0037_20260411,none_observed,,2026-05-12
DEC_0038_20260303,repaid_late,closed_clean,2026-03-19
DEC_0039_20260420,charge_off_30d,"$21,542",2026-06-19
DEC_0040_20260323,customer_friction_complaint,case_filed,2026-05-12
DEC_0041_20260418,account_opened_clean,closed_clean,2026-05-09
DEC_0042_20260405,legitimate_blocked,case_filed,2026-05-24
DEC_0043_20260304,customer_friction_complaint,case_filed,2026-04-10
DEC_0044_20260303,complaint_state_doi,case_filed,2026-03-26
DEC_0045_20260324,none_observed,,2026-04-06
DEC_0046_20260420,none_observed,,2026-05-24
DEC_0047_20260326,customer_complaint_cfpb,case_filed,2026-03-28
DEC_0048_20260427,customer_friction_complaint,case_filed,2026-06-13
DEC_0049_20260328,fraud_prevented,closed_clean,2026-04-03
DEC_0050_20260427,legitimate_blocked,case_filed,2026-07-09
DEC_0051_20260413,false_positive_appeal,case_filed,2026-04-20
DEC_0052_20260327,reopened_dispute,case_filed,2026-04-12
DEC_0053_20260410,siu_fraud_confirmed,closed_clean,2026-05-25
DEC_0054_20260407,sar_filed_later,"$34,426",2026-06-20
DEC_0055_20260413,chargeback_30d,"$11,486",2026-04-27
DEC_0056_20260427,charge_off_30d,"$43,105",2026-06-21
DEC_0057_20260304,chargeback_30d,"$48,340",2026-04-24
DEC_0058_20260412,legitimate_blocked,case_filed,2026-06-09
DEC_0059_20260408,repaid_on_time,closed_clean,2026-05-12
DEC_0060_20260424,chargeback_30d,"$32,354",2026-05-25
DEC_0061_20260406,none_observed,,2026-05-17
DEC_0062_20260405,none_observed,,2026-05-27
DEC_0063_20260320,reopened_dispute,case_filed,2026-04-01
DEC_0064_20260312,account_opened_clean,closed_clean,2026-04-13
DEC_0065_20260330,repaid_late,closed_clean,2026-05-26
DEC_0066_20260307,fraud_prevented,closed_clean,2026-03-09
DEC_0067_20260316,customer_complaint_cfpb,case_filed,2026-05-27
DEC_0068_20260412,none_observed,,2026-04-18
DEC_0069_20260411,customer_friction_complaint,case_filed,2026-06-04
DEC_0070_20260417,false_positive_appeal,case_filed,2026-06-09
DEC_0071_20260321,account_opened_clean,closed_clean,2026-05-08
DEC_0072_20260424,complaint_state_doi,case_filed,2026-06-21
DEC_0073_20260419,fraud_prevented,closed_clean,2026-05-18
DEC_0074_20260429,siu_fraud_confirmed,closed_clean,2026-05-09
DEC_0075_20260304,legitimate_blocked,case_filed,2026-03-25
DEC_0076_20260313,false_positive_appeal,case_filed,2026-05-22
DEC_0077_20260321,paid_no_dispute,closed_clean,2026-04-05
DEC_0078_20260320,charge_off_30d,"$8,622",2026-06-02
DEC_0079_20260309,customer_complaint_cfpb,case_filed,2026-04-20
DEC_0080_20260402,legitimate_blocked,case_filed,2026-05-26
DEC_0081_20260301,paid_no_dispute,closed_clean,2026-03-14
DEC_0082_20260303,charge_off_30d,"$25,699",2026-03-09
DEC_0083_20260401,fraud_prevented,closed_clean,2026-04-20
DEC_0084_20260306,legitimate_blocked,case_filed,2026-05-12
DEC_0085_20260430,reopened_dispute,case_filed,2026-05-31
DEC_0086_20260325,charge_off_30d,"$37,513",2026-05-24
DEC_0087_20260409,account_opened_clean,closed_clean,2026-06-04
DEC_0088_20260430,none_observed,,2026-07-06
DEC_0089_20260322,siu_fraud_confirmed,closed_clean,2026-04-12
DEC_0090_20260309,paid_no_dispute,closed_clean,2026-03-20
DEC_0091_20260422,sar_filed_later,"$16,243",2026-05-09
DEC_0092_20260408,charge_off_30d,"$48,157",2026-05-03
DEC_0093_20260411,complaint_state_doi,case_filed,2026-05-28
DEC_0094_20260429,paid_no_dispute,closed_clean,2026-07-08
DEC_0095_20260417,siu_fraud_confirmed,closed_clean,2026-06-14
DEC_0096_20260321,none_observed,,2026-05-02
DEC_0097_20260414,chargeback_30d,"$12,943",2026-06-19
DEC_0098_20260301,complaint_state_doi,case_filed,2026-03-22
DEC_0099_20260328,false_positive_appeal,case_filed,2026-04-05
DEC_0100_20260320,customer_complaint_cfpb,case_filed,2026-03-25
DEC_0101_20260308,none_observed,,2026-04-14
