decision_id,doc_id,doc_version,retrieved_at
DEC_0001_20260312,edd_criteria_high_risk,v3.2,2026-03-12T17:24:05Z
DEC_0001_20260312,kyc_policy_2026,v5.0,2026-03-12T17:24:05Z
DEC_0002_20260406,rate_card_2026q1,v1.0,2026-04-06T16:14:37Z
DEC_0002_20260406,policy_credit_v2_3,v2.3,2026-04-06T16:14:37Z
DEC_0002_20260406,internal_underwriting_guide,v8.7,2026-04-06T16:14:37Z
DEC_0002_20260406,disclosure_truth_in_lending,v4.1,2026-04-06T16:14:37Z
DEC_0003_20260312,fraud_rule_2026q1,v9.4,2026-03-12T10:22:29Z
DEC_0003_20260312,step_up_auth_policy,v3.3,2026-03-12T10:22:29Z
DEC_0003_20260312,merchant_blocklist_2026_03_10,v2026.03.10,2026-03-12T10:22:29Z
DEC_0003_20260312,velocity_limits_table,v4.0,2026-03-12T10:22:29Z
DEC_0004_20260416,kbb_value_2026_03,v1.0,2026-04-16T08:11:02Z
DEC_0004_20260416,policy_property_form_hop3,v3.1,2026-04-16T08:11:02Z
DEC_0004_20260416,siu_referral_criteria,v2.4,2026-04-16T08:11:02Z
DEC_0005_20260409,kbb_value_2026_03,v1.0,2026-04-09T08:56:44Z
DEC_0005_20260409,claims_handbook_2026,v6.2,2026-04-09T08:56:44Z
DEC_0006_20260316,beneficial_owner_form,v2.1,2026-03-16T12:06:47Z
DEC_0006_20260316,kyc_policy_2026,v5.0,2026-03-16T12:06:47Z
DEC_0006_20260316,edd_criteria_high_risk,v3.2,2026-03-16T12:06:47Z
DEC_0007_20260430,beneficial_owner_form,v2.1,2026-04-30T12:39:31Z
DEC_0007_20260430,ofac_sdn_2026_03_08,v2026.03.08,2026-04-30T12:39:31Z
DEC_0007_20260430,kyc_policy_2026,v5.0,2026-04-30T12:39:31Z
DEC_0007_20260430,edd_criteria_high_risk,v3.2,2026-04-30T12:39:31Z
DEC_0008_20260307,ofac_sdn_2026_03_08,v2026.03.08,2026-03-07T15:08:03Z
DEC_0008_20260307,kyc_policy_2026,v5.0,2026-03-07T15:08:03Z
DEC_0009_20260427,policy_property_form_hop3,v3.1,2026-04-27T16:55:11Z
DEC_0009_20260427,claims_handbook_2026,v6.2,2026-04-27T16:55:11Z
DEC_0010_20260419,kyc_policy_2026,v5.0,2026-04-19T18:48:58Z
DEC_0010_20260419,ofac_sdn_2026_03_08,v2026.03.08,2026-04-19T18:48:58Z
DEC_0010_20260419,beneficial_owner_form,v2.1,2026-04-19T18:48:58Z
DEC_0011_20260420,velocity_limits_table,v4.0,2026-04-20T10:09:54Z
DEC_0011_20260420,step_up_auth_policy,v3.3,2026-04-20T10:09:54Z
DEC_0012_20260427,ofac_sdn_2026_03_08,v2026.03.08,2026-04-27T11:14:07Z
DEC_0012_20260427,edd_criteria_high_risk,v3.2,2026-04-27T11:14:07Z
DEC_0012_20260427,beneficial_owner_form,v2.1,2026-04-27T11:14:07Z
DEC_0012_20260427,kyc_policy_2026,v5.0,2026-04-27T11:14:07Z
DEC_0013_20260312,velocity_limits_table,v4.0,2026-03-12T09:46:22Z
DEC_0013_20260312,fraud_rule_2026q1,v9.4,2026-03-12T09:46:22Z
DEC_0014_20260324,velocity_limits_table,v4.0,2026-03-24T12:06:24Z
DEC_0014_20260324,step_up_auth_policy,v3.3,2026-03-24T12:06:24Z
DEC_0014_20260324,fraud_rule_2026q1,v9.4,2026-03-24T12:06:24Z
DEC_0014_20260324,merchant_blocklist_2026_03_10,v2026.03.10,2026-03-24T12:06:24Z
DEC_0015_20260318,kbb_value_2026_03,v1.0,2026-03-18T09:46:09Z
DEC_0015_20260318,claims_handbook_2026,v6.2,2026-03-18T09:46:09Z
DEC_0015_20260318,policy_property_form_hop3,v3.1,2026-03-18T09:46:09Z
DEC_0016_20260420,disclosure_truth_in_lending,v4.1,2026-04-20T18:03:21Z
DEC_0016_20260420,internal_underwriting_guide,v8.7,2026-04-20T18:03:21Z
DEC_0016_20260420,rate_card_2026q1,v1.0,2026-04-20T18:03:21Z
DEC_0017_20260404,step_up_auth_policy,v3.3,2026-04-04T08:37:07Z
DEC_0017_20260404,velocity_limits_table,v4.0,2026-04-04T08:37:07Z
DEC_0017_20260404,fraud_rule_2026q1,v9.4,2026-04-04T08:37:07Z
DEC_0018_20260430,internal_underwriting_guide,v8.7,2026-04-30T14:02:11Z
DEC_0018_20260430,policy_credit_v2_3,v2.3,2026-04-30T14:02:11Z
DEC_0019_20260305,kyc_policy_2026,v5.0,2026-03-05T15:18:09Z
DEC_0019_20260305,edd_criteria_high_risk,v3.2,2026-03-05T15:18:09Z
DEC_0020_20260420,velocity_limits_table,v4.0,2026-04-20T13:45:49Z
DEC_0020_20260420,fraud_rule_2026q1,v9.4,2026-04-20T13:45:49Z
DEC_0020_20260420,step_up_auth_policy,v3.3,2026-04-20T13:45:49Z
DEC_0021_20260430,claims_handbook_2026,v6.2,2026-04-30T08:18:03Z
DEC_0021_20260430,kbb_value_2026_03,v1.0,2026-04-30T08:18:03Z
DEC_0022_20260409,beneficial_owner_form,v2.1,2026-04-09T16:52:37Z
DEC_0022_20260409,edd_criteria_high_risk,v3.2,2026-04-09T16:52:37Z
DEC_0023_20260428,claims_handbook_2026,v6.2,2026-04-28T15:42:26Z
DEC_0023_20260428,siu_referral_criteria,v2.4,2026-04-28T15:42:26Z
DEC_0024_20260325,kyc_policy_2026,v5.0,2026-03-25T16:43:51Z
DEC_0024_20260325,beneficial_owner_form,v2.1,2026-03-25T16:43:51Z
DEC_0024_20260325,edd_criteria_high_risk,v3.2,2026-03-25T16:43:51Z
DEC_0024_20260325,ofac_sdn_2026_03_08,v2026.03.08,2026-03-25T16:43:51Z
DEC_0025_20260319,claims_handbook_2026,v6.2,2026-03-19T11:58:22Z
DEC_0025_20260319,siu_referral_criteria,v2.4,2026-03-19T11:58:22Z
